index,timestamp_utc,delta_ms,direction,group,command,cmd_value,kind,status,decoded,payload_len,payload_hex
19768,2026-08-27 20:07:21.354497,0.905,RADIO->APP,extended,BT_EVENT_NOTIFICATION,16387,notification,,UPDATE_DATA_BYTES_REQ bytesRequested=144 bytesSkip=0,12,12 03 00 08 00 00 00 90 00 00 00 00
19769,2026-08-27 20:07:21.361434,6.937,APP->RADIO,extended,VM_CONTROL,1602,request,,UPDATE_DATA isFinal=0 chunkLen=144 first=fe 3f fd 27 fc e4 fe 59,148,04 00 91 00 fe 3f fd 27 fc e4 fe 59 fc 7b fe 5f fd 58 fe e3 fe 97 ff 84 00 52 00 de 01 60 02 e7 02 94 03 77 04 b4 02 e4 05 1b 03 81 03 3b 03 87 02 18 02 30 00 51 01 ee fe b9 ff e7 ff d7 fd 78 ...(+84B)
19770,2026-08-27 20:07:21.387911,26.477,RADIO->APP,extended,VM_CONTROL,1602,response,success,VM_CONTROL reply,1,00
19771,2026-08-27 20:07:21.394008,6.097,RADIO->APP,extended,BT_EVENT_NOTIFICATION,16387,notification,,UPDATE_DATA_BYTES_REQ bytesRequested=144 bytesSkip=0,12,12 03 00 08 00 00 00 90 00 00 00 00
19772,2026-08-27 20:07:21.398285,4.277,APP->RADIO,extended,VM_CONTROL,1602,request,,UPDATE_DATA isFinal=0 chunkLen=144 first=ff f7 fc 6f fe 92 fd 4d,148,04 00 91 00 ff f7 fc 6f fe 92 fd 4d fb 30 fc 79 fb 06 fa 59 fa d7 fb 75 fb b6 fc 68 ff f2 fe ed 02 b8 04 8d 05 3f 06 a9 09 e7 06 4a 09 04 09 57 02 4f 08 aa ff f4 02 c7 fe d3 fe 47 fe a7 fa 85 ...(+84B)
19773,2026-08-27 20:07:21.444208,45.923,RADIO->APP,extended,VM_CONTROL,1602,response,success,VM_CONTROL reply,1,00
19774,2026-08-27 20:07:21.445271,1.063,RADIO->APP,extended,BT_EVENT_NOTIFICATION,16387,notification,,UPDATE_DATA_BYTES_REQ bytesRequested=144 bytesSkip=0,12,12 03 00 08 00 00 00 90 00 00 00 00
19775,2026-08-27 20:07:21.453540,8.269,APP->RADIO,extended,VM_CONTROL,1602,request,,UPDATE_DATA isFinal=0 chunkLen=144 first=02 29 02 1b 01 bf 02 00,148,04 00 91 00 02 29 02 1b 01 bf 02 00 01 d8 00 95 fe 2a fe 25 fb 8b f9 89 f9 f9 f7 f0 f8 d6 f9 71 fa b0 fd 2d fe b6 02 5e 03 da 07 aa 05 b6 0d b8 05 69 0a 34 0a f9 ff ca 08 d2 fe 7d 00 3a fb ef ...(+84B)
19776,2026-08-27 20:07:21.487834,34.294,RADIO->APP,extended,VM_CONTROL,1602,response,success,VM_CONTROL reply,1,00
19777,2026-08-27 20:07:21.489008,1.174,RADIO->APP,extended,BT_EVENT_NOTIFICATION,16387,notification,,UPDATE_DATA_BYTES_REQ bytesRequested=144 bytesSkip=0,12,12 03 00 08 00 00 00 90 00 00 00 00
19778,2026-08-27 20:07:21.491299,2.291,APP->RADIO,extended,VM_CONTROL,1602,request,,UPDATE_DATA isFinal=0 chunkLen=144 first=fb 21 fc 2b 00 a0 ff 55,148,04 00 91 00 fb 21 fc 2b 00 a0 ff 55 02 95 02 bb 04 3a 03 4b 03 09 02 0d 00 05 fd f8 fc 11 fa 83 f7 d7 f7 ef f7 ab f7 b2 f9 38 fc 94 fd 54 01 8a 04 70 08 13 05 ed 0f 6a 08 60 08 d4 0f a5 ff 97 ...(+84B)
19779,2026-08-27 20:07:21.540330,49.031,RADIO->APP,extended,VM_CONTROL,1602,response,success,VM_CONTROL reply,1,00
19780,2026-08-27 20:07:21.541455,1.125,RADIO->APP,extended,BT_EVENT_NOTIFICATION,16387,notification,,UPDATE_DATA_BYTES_REQ bytesRequested=144 bytesSkip=0,12,12 03 00 08 00 00 00 90 00 00 00 00
